Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20230816041418_air-gh_test1-patch_20230816_enable_autoware_mini_2.patch										
20230816042000_air-gh_test1-patch_20230816_enable_autoware_mini_2.patch										
20230816042541_air-gh_test1-patch_20230816_enable_autoware_mini_2.patch										
20230816043122_air-gh_test1-patch_20230816_enable_autoware_mini_2.patch										
20230816043704_air-gh_test1-patch_20230816_enable_autoware_mini_2.patch										
20230816044426_air-gh_test1-patch_20230816_enable_autoware_mini_2.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816045148_air-gh_test1-patch_20230816_enable_autoware_mini_2.patch	-1	-1	-1	false	false	false	false	false	false	false
test1-patch_20230816_enable_autoware_mini_2.patch	33.388	31.7186	3.19997	false	false	true	false	false	true	false
test1-patch_20230816_enable_autoware_mini_2.patch	-1	-1	-1	false	false	false	false	false	false	false
test1-patch_20230816_enable_autoware_mini_2.patch	2.2302	2.11869	0	true	false	false	false	false	true	false
test1-patch_20230816_enable_autoware_mini_2.patch	33.6209	31.9399	3.19996	false	false	true	false	false	true	false
test1-patch_20230816_enable_autoware_mini_2.patch	33.4219	31.7508	3.20007	false	false	true	false	false	true	false
test1-patch_20230816_enable_autoware_mini_2.patch	33.4093	31.7388	3.19996	false	false	true	false	false	true	false
test1-patch_20230816_enable_autoware_mini_2.patch	-1	-1	-1	false	false	false	false	false	false	false
