Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20230816074410_air-gh_test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816075132_air-gh_test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816075855_air-gh_test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816080618_air-gh_test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816081340_air-gh_test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816082103_air-gh_test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816082825_air-gh_test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
test1-patch_20230816_task02_1.patch	33.6576	31.9747	13.5999	false	false	true	false	false	true	false
test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
test1-patch_20230816_task02_1.patch	33.4497	31.7772	3.19997	false	false	true	false	false	true	false
test1-patch_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
